ClusterID,exemplar (local center),MemberGenes
Cluster:11,29894,9780;3340;160;7407;4830;143;1021;55704;1112;1595;399979;124540;23258;100526693;9334;29894;309;8078;25792;10095;284361;23530;57533;51199;2040;8189;29924;23654;5605;1611;25;2907;9181;4650;29;2908;493;2580;65108;2590;6566;23264;598;6541;9500;10652;116138;116985;23140;1857;4302;4942;3727;149603;5747;57178;8754;2876;5335;2776;10970;7402;23646;7706;101243545;81619;6282;29888;23463;4047;11177;9361;5214;3304;196527;6305;6595;26173;8567;22937;57153;8396;5878;80762;51586;84231;55684;23644;4173;6777;5934;1265;79027;60626;25777;6778;2783;8314;2683;55653;53635;11316;9261;10797;7249;23224;23406;91754;9516;5534;399687;64599;3654;4000;5954;5524;3992;23399;7922;9219;7791;6451;5351;3303;6522;54921;3636;9567;7392;1537;26994;2889;9785;6197;7204;50488;10318;1808;1075;29803;1200;5832;23339;11282;128866;4012;2182;53339;84232;2017;11188;1465;6510;394;91304;527;5814;283450;8837;5768;2872;80344;1743;57584;55187;10273;55700;22870;4249;5829;5834;26020;51150;10749;64778;6513;9044;1209;5621;27339;3983;80331;4026;1889;283373
Cluster:12,8417,535;9859;25926;23200;11215;9929;51522;11073;10856;7090;23607;55969;7398;3336;23230;55256;8658;373156;3638;6051;26037;54867;55252;7046;339123;90007;8417;10951;3835;8560;471;2132;54741;23523;6498;1476;64764;23310;23054;9583;66008;6773;6526;55818;8099;5516;64770;9061;5955;60528;2005;9728;4149;8394;55095;51646;5604;157680;5770;50618;10314;324;3987;9695;25800;5906;81542;23683;23300;401387;5305;4194;867;5531;8939;150465;25885;23380;51160;57704;23291;6631;728661;100533483;54386;5286;253260;56262;23041;22993;126328;10973;79158;10105;4152;4200;6632;58505;29994;6949;51449;55670;7375;23299;167227;8540;88455;55814;10514;57561;2787;23060;51065;22984;25804;10226;10421;112398;84301;2801;196441;23509;7799;9446;23036;23076;51312;2309;9238;9581;2271;113829;23379;10474;8879;39;7798;22906;27166;9296;91137;5469;83440;64087;23122;157769;26001;8816;54764;5033;10554;54495;2193;8237;51752;6392;9926;22848;51307;10432;26234;23433;54583;55654;26224;375743;7324;9236;1175;10066;81614;9377;5978;8874;56255;521;23085;23253;1874;6654;8897;790;440275;9917;100101267;85465;5782;254122;55182;100529241;55689;6449;153830;6170;9693;57122;987;9371;28969;9110;54464;23080;4124;55556;10212;5441;55274;22864;9217;7979;10424;3796;10771;7357;9778;57035;80267;130507;8815;84893;11010;3419;8502;26959;9815;4090;25879;253832;5119;9862;55215;9631;1845;3988;5425;58487;10577;8241;2794;200576;10526;4205;9665;2936;91748;90480;6415;51768;10434;9779;10969;23423;113419;23167;55593;100861548;4864;25897;9266;22928;4204;2035;56061;5970;29940;10336;57590;8518
Cluster:13,4489,2792;128853;100507117;525;115584;554225;339834;387700;157310;653316;440730;84667;5443;389692;377841;161247;144453;51206;120376;5624;51267;100506178;100130933;1621;55576;692213;692057;56128;414243;101927740;375307;285097;65061;149773;677798;255426;340547;4489;26805;26788;283547;93426;101927586;56124;3581;344887;78989;201625;100507524;100463285;100506885;100861514;7253;3990;26782;112806053;5961;101954278;7222;151835;92292;204010;138724;100130449;284757;4914;10242;7062;283710;56130;2840;116328;118432;6442;107985433;101927497;105371267;348378;138948;112267871;761;1013;778;26783;400617;219623;130951;64922;442117;107985075;163223;3199;89;1556;105373805;51764;6540;400709;27197;10930;30816;29802;57159;285758;151;84210;57864;654321;140469;104310353;2302;100506243;339416;641311;646576;353091;57110;6528;91370;157773;114898;116285;101927780;151254;440077;126820;440934;4640;101929378;554;24;2172;90332;23520;643677;59344;102723775;554235;4168;285676;29881;151242;10637;401427;54084;133396;56961;3623;6425;347688;220107;10316;4435;2277;100506098;284076;283310;90485;6554;201780;51208;100507392;55515;22844;339977;222537;167465;1588;105369201;84063;152756;400680;100507540;2996;9381;389668;54456;25833;150538;26827;26811;283869;101927851;2645;117144;222698;79931;157753;79927;4902;200373;339855;440563;6869;57010;51384;101929335;348487;56301;101929141;146177;6496;11131;100129434;7399;2925;594838;26220;6083;5453;260334;441376;160492;60529;643376;101928399;90226;219537;79400;100506688;135250;100873924;341019;10993;285016;147;420;284233;102546299;238;85016;441601;283521;377007;148979;285965;386757;8822;101928158;391712;100996702;151174;402415;389898;338651;1769;152573;100289279;728485;10888;94027;164668;79722;140578;79933;283481;654319;619570;94161;2103;9365;401014;7512;167681;103689912;51066;85452;6345;5988;140687;83853;221424;83881;400746;1259;101101775;246777;118471;8190;677810;85480;122011;196446;91181;254528;56129;79852;105371849;391267;1010;55065;692212;339768;80032
Cluster:14,3098,11273;2950;8848;4150;3098;2317;5339;2194;3159;221092;23770;351;6867;302;2664;3916;8085;2909;4967;2896;23061;3133;79026;677;1718;824;4478;6319;667;7916;396;3107;3482;444;7001;26099;37;166;5709;4082;3105;8682;51107;5211;950;975;22883;8242;4853;6625;1453;4779;7343;1500;6303;1509;81876;9612;1785;25932;6721;7431;3423;114823;5589;10801;8148;87;2771;26528;2316;8570;4924;1107;140735;3925;10628;823;11338;162;5976;57222;29997;311;3106;537;10847;3572;207;208;22913;6238;6744;23381;4282;3831;8531;1727;23365
Cluster:15,389170,440307;142684;641367;89838;2780;100507747;279;285429;100507462;728448;100129726;100133612;388323;100302111;643854;125875;83873;146456;101929066;100302401;54752;101929095;105373383;105378828;161497;26261;26800;127579;100533182;106660606;100505851;55259;100131655;106144529;389170;101928053;57393;105379252;728635;284266;653677;100288846;285638;159686;100130887;347732;101929591;158572;286256;101928571;101929099;220136;283971;125965;100129215;85417;388588;144193;619571;128864;503693;102723166;81025;257044;128229;100128164;8944;100128640;100287944;400512;85390;644903;400945;109729141;113457;653567;100506142;130752;101927322;100129461;100289187;339883;101927288;100129503;57615;255512;55150;100132594;105372476;400224;126248;342372;101928917;441294;50832;55908;148709;100507071;100506660;283948;399900;129881;101927111;84217;345222;4878;100507582;1583;728498;101928846;100507588;347744;200810;650655;283507;26813;105371414;126006;102724571;101927402;375316;353500;145788;102723701;151651;440028;100861517;91646;6865;85376;100129858;100507401;26792;151477;84734;8326;1238;613126;26070;101927667;100507173;285141;441046;55567;100129480;643382;57096;130940;388722;374407;201798;26797;100133220;100506286;9303;347051;54429;283038;78998;100271715;101410533;677804;497190;653125;554206;25794;728780;101928238;654254;9300;286122;171523;107984969;130540;400123;100526820;283152;283887;199720;122945;100310846;8820;60494;285525;348174;399715;541473;8608;220359;387082;100846999;100422985;102723809;101927420;440804;653061;10824;84660;164395;100507650;10633;127255;27232;729747;64577;8620;6795;100874214;390598;102723692;8510;692072;101928728;4146;26150;400752;51751;100128750;150384;149095;101928085;26771;286103;645158;84218;101929340;155006;101929302;100652853;440695;140290;100144603;8838;7349;8512;373856;100506394;125111;387712;102725072;100313837;80975;10566;283726;284353;29774;101927905;374286;112935960;146212;2979;100506874;101929215;128153;128497;100422977;100128108;136332;201456;338817;196872;100506922;642929;105274304;101927720;402573;100874032;158055;401398;100506516;100873947;387849;105374104;266675;7379;105371430;100873932;148870;100996251;2116;340393;101929351;400684;154865;105370458;168507;644135;5897;348808;29765;414060;10343;152098;221191;8174;345895;23409;1415;256309;107984285;107985209;114960;728752;196968;101929719;144486;11077;161835;594840;254158;388581;400728;542767;150221;9299;27098;84073;653333;100419743;116938;106144593;283693;165829;5172;221060;100873935;340307;339453;100131347;145438;101930452;642987;345930;50939;283284;158067;728229;283933;100131997;100506113;100996246;5003;441457;441307;142913;692106;26816;56155;109617010;8817;440600;91227;387911;101929402;100507404;645967;106144532;100287482;388559;3263;1325;3592;80072;129530;653720;101927989;93233;64064;55451;400627;10737;378884;387990;115308161
Cluster:16,360023,5090;5922;1762;10654;6666;3029;112770;22809;169200;54899;435;613037;29937;8836;84930;8611;170959;25943;10681;2218;587;9949;285598;3588;59274;55775;57337;5873;53917;79095;5287;27245;841;360023;55007;55741;23507;258010;25771;7486;26035;8934;115548;387921;54149;9306;6468;440145;283871;51141;55129;58527;201254;1820;644;91689;9521;29922;126731;11080;7767;51282;5203;55599;2542;317781;10712;51295;6183;56834;9980;79080;840;57669;5860;54985;55312;93663;51293;109286553;105369154;54908;27031;55917;348654;7693;9759;127544;36;56852;26751;10626;29116;6990;7443;10535;10950;63905;104266957;10298;84614;10220;79042;65250;54806;54454;92255;117177;128989;79023;64400;142940;64718;26229;2717;51135;8555;115024;22841;57407;80020;203;6988;135293;51547;79598;54438;23031;7644;7813;85014;57579;51360;6934;3145;23116;1111;85363;10018;55281;84304;100129482;57688;11127;126003;51660;1841;3660;147968;55604;55163;84725;5983;65260;79661;160851;9666;102724826;26039;23035;85028;54976;22858;64425;57728;143684;23640;55062;10040;162989;64854;51303;7111;51053;100134938;285958;100303728;159013;607;57396;79649;112616;51409;90417;1632;113263;64783;6470;23117;23649;112483;2054;29886;10745;84937;8975;1849;160897;100526760;202018;54828;4300;51678;57678;55646;84851;55764;55900;636;7289;55501;80003;55847;11201;340481;51167;64975;64949;55652;1730;125488;4734;4350;64921;127687;57085;10257;253714;8702;55839;5092;65062;339324;57630;254531;11123;23221;84319;23239;1649;205428;1802;5465;84986;55038;126133;7321;23169;375248;8604;54517;28982;401397
Cluster:17,7070,10642;4046;7070;3071;114569;55384;8653;1278;216;7503;3910;27122;1281;79784;963;999;8284;10085;3127;9383;10320;6192;3122;6422;1634;5265;4072;4069;5788;3880;2
Cluster:18,84552,400713;374900;379;147807;641649;284406;126375;11339;1491;8800;130340;26270;25827;84900;54958;57657;57156;148213;79041;222962;167691;78995;91978;9942;100049716;123722;727936;729533;340277;752014;84765;727910;4007;84911;80723;285368;53840;84552;9122;100129842;201164;79037;284992;100131827;103611081;57577;126068;285908;55175;55640;118881;114112;653308;5959;100128927;55840;100862671;342892;92815;400954;79845;374618;83547;79774;112268124;54558;10293;8214;9495;7123;144406;89884;23245;101929709;113157;284697;80823;79070;84795;53346;4703;3991;3795;80863;390927;23308;79873;339344;54762;56971;619208;100507303;83854;643699;201229;255027;494143;84221;282969;57639;55540;339105;90525;56548;1138;128272;79414;375444;203062;1600;201134;27165;641371;154141;80263;255043;132158;140564;57412;51807;2330;80318;254427;353088;284307;100128071;118812;8632;388931;653820;741;79669;57710;51161;9200;653583;1145;57732;81786;89887;727;6263;89801;79844;57168;79891;57332;161882;203238;100129550;388566;440519;374443;3077;375061;54885;7639;84197;79156;114819;255783;3601;136;124044;150946;144608;11274;390595;84253;105370888;3931;3656;65072;51661;83694;140700;177;100499483;23552;29070;100294362;4485;374899;84541;63926;100128398;151507;200316;101928371;2187;23066;255403;90271;81931;2157;140711;728833;730101;57653;84144;113277;401431;7881;7923;116238;113115;1962;57562;389333;27254;8444;7755;85446;79925
Cluster:19,140767,3484;100169768;56934;653067;5196;2243;3018;8471;100506492;3854;100169761;3577;1089;6690;100169765;2266;140767;2168;7031;197;100169753;100169762;4583;2554;2938;100169763;677829;758;10716;5816;6085;79574;400668;1991;81551;653220;155465;2557;1045;677841;932;100169767;4111;885;2915;6910;51412;6943;57467;2565;4340;3765;7276;5375;677833;1178;6998;100169755;1667;100169759;2572;84735;1830;350;100169757;100169766;100873989;1668;118427;126;641654;8710;100169754;80309;3747;100169764;2543;5645;79908;2244;7367;5473;27231;26828;728358;101954273;10345;132204;174;93377;132625;100169758;7547;100169756;3158;3050;399947;4099;6366;3042;286887;1084;102724908;222008;8796;9982;6005;1015;8368;11061;3853;336;5015;2566;100169751;4062
Cluster:20,51172,10629;154743;79738;4913;102723897;27158;63906;10392;139285;100287171;27241;57594;9546;65249;26297;139886;29950;619189;8310;120227;126526;283232;22835;197407;29988;163126;245812;116115;64146;115201;55650;51172;57623;56605;55039;7753;1838;84219;85444;9338;93210;27433;123016;6248;51548;201255;8819;145173;79175;6940;162239;8790;7692;57089;55217;11022;203427;729678;102659353;80304;54981;64927;84878;4285;100506033;80174;113189;7625;8690;84527;64779;80199;653121;54954;124401;84954;100507331;10520;130557;5165;23232;11046;375484;79683;221120;27235;10612;55916;221491;79970;29998;8263;317749;92002;1628;84267;139596;284371;81928;84548;26063;53344;7738;7988;112849;162972;89782;283267;100506603;26267;342357;90233;128486;6618;403313;7728;9187;414919;134353;79020;10039;842;54896;7695;7741;79673;51710;80021;22994;286128;200312;100505624;261734;79866;85302;81932;80298;116843;147015;132720;66035;2188;9441;114984;51101;25864;140685;5989;5664;163227;79703;9149;149420;51531;55008;55248;146540;348180;64077;221908;729156;90580;29844;57684;57343;27153;51281;84282;79154;138639;79697;6571;7592;65988;22921;27349;83594;60678;79969;92979;7760;6875;101926943;64858;22845;92935;109729181;7107;84964;91801;164091;108783654;441531;84826;90826;84922;7571;152217;55663;10325;197258;222255;3628;11264;4795;549;130535;116236;25799;196513;130814;221504;54677;64925;203260;113655;22881;399474
Cluster:21,83450,91893;643866;100132215;79898;100533952;91419;27010;7568;51276;150737;153768;147699;51533;105378580;283932;10677;80071;100129250;8269;100507316;133383;101928736;147949;100874085;100131094;57547;149473;10747;169270;100506713;642819;445577;399669;147929;729096;53833;284161;91355;101927492;127700;83450;80776;199745;197021;100507567;648987;170082;10224;284346;401612;11147;656;25973;149465;729978;10817;7784;84084;158431;115950;100505616;57501;55184;2868;642361;169841;7673;728769;114796;84504;388536;84645;440300;474343;55552;100506083;79955;118491;152048;284338;147808;652968;653160;11251;150786;346007;58495;63943;100505648;92283;503538;100852407;386724;390980;129880;8372;51054;221143;375593;348327;80705;79149;55296;100506215;55733;441212;87769;91442;645166;8711;80778;100286844;64080;158160;80345;100128782;647310;401264;9;84074;100505573;101927795;115196;284114;157657;11092;137994;414224;100507495;1427;151393;3305;285830;142679;106478956;64288;100131691;342909;9098;220930;84216;414328;100113386;103344931;105369779;105369758;100500905;54553;55815;100873949;404665;149840;285346;285315;50511;90075;142686;84812;164633;388389;729614;389084;105372482;728621;79879;90576;100130015;257169;100507373;100526835;78990;101929290;389856;353497;7766;166793;93474;25850;105371814;284023;100507178;122525;145957;441272;151649;400673;100506302;102723885;55659;643707;199223;401251;1945;5382;130355;253639;92922;102723360;58492;132989;90423;286042;401577;162962;401207;554251;503542;153743;159091;253039;63920;651337;101928464;147011;114987;283208;642402;4867;26778;339559;140831;117155;162968;642799;100506380;100505549;100288695;100289274;54718;729867;286190;112441434;96626;148103;440288;8787;729440;388569;284498;400242;162993;130888;55721;127495;84182;25961;26790;100874048;79831;84984;7579;79922;692094;1;144347;171425;127396;344595;25809;57716;171220;2272;102724219;163051;166379;100505783;105371795;7789;26149;5191;284306;126295;130827;79943;130162;124751;100289561;55805;124989;92270;101928063;377677;349075;643853;439994
Cluster:22,55057,221806;677781;154075;3756;353189;4588;9034;115761;64108;389114;285386;2151;7732;134;8707;8862;6474;51087;146713;162494;9068;23416;84623;135932;374907;3824;23498;83850;91522;10110;118738;168667;80129;9723;285671;3589;440503;8913;26508;400745;154661;8739;8320;100462983;5918;4488;338382;109729137;5345;10675;84465;284021;55057;9001;100128590;8437;130576;22997;100303491;94274;282973;80380;23105;3595;85409;283888;255877;3112;27201;374977;54810;53637;2494;150365;201501;57569;23551;22854;340542;8330;359809;8989;5801;374946;1767;50856;9508;79730;3768;10279;94032;9241;7483;84814;81796;399668;728591;440590;5071;84830;3706;140766;653598;80323;5733;653689;392617;10265;6769;388121;5979;150;5083;954;100506776;54567;2857;352909;23566;54106;4974;23643;619563;400043;112937;8328;100130417;10858;197135;59341;109729184;221662;116039;55026;2139;65997;196500;11247;1285;79442;744;53841;268;1305;252995;127733;404266;3221;84439;124925;692158;140803;2949;222950;167838;55203;441666;3767;7294;3902;282996;146760;84519;9856;152;9071;9966;4058;254228;57718;8900;219348;64067;441168;91752;135398;6236;199786;57758;23281;65987;126669;8309;57578;91133;80274;2785;2905;401145;80832;1821;116362;126326;84000;256021;7448;80320;254559;401563;9627;56833;116071;51676;25924;55359;196410;9022;4148;5739;130733;11248;10350;51334;116835;103504734;55799;9363;170685;148641;11155;129049;57717;2921;2138;66000;3604;10071;9413;11341;23072;644591;6899;348645;103611157;1141;23493;3202;139728;100505635;54830;162466;105378083;9955;92359;2028;57091;10234;128312;57188;132884;283487;6861;3291;100288181;63976;26784;23237;64208;1950;3779;1235;26290;2888;83733;81615;30818;84239
Cluster:23,728975,493911;100133315;54466;257396;340485;104355426;101927765;197187;728431;100507171;113179;349565;120379;100506881;440348;100144748;126272;84071;64130;100996447;26266;595135;340351;400566;729920;100528020;439931;100289211;100287015;284390;102724064;255082;100873952;257177;85001;3770;101929162;83473;285755;100505741;7638;23251;79788;728975;219293;653857;140894;85478;80352;641467;2329;7730;100506581;100125288;100506462;115948;100506100;342132;6799;285905;642852;100129924;157489;101928000;123775;360200;285266;4901;140545;348926;150356;100874001;85320;105370333;107984921;64799;729873;100130958;147837;373509;200162;730183;79917;404281;100529240;100287559;55335;90024;101928578;100125556;497258;100526794;1594;101060321;220992;239;730098;8630;92591;171391;100310812;100129029;101928062;414208;6094;100507266;165082;692201;441150;553103;348801;55064;729603;100874097;7567;4117;79173;84996;85002;126074;221468;7691;645676;6991;93653;729020;84698;79819;26206;101927204;729438;160857;126661;3574;102724009;93953;729597;29964;10650;201181;201232;100129075;100874006;400761;256933;283440;161582;282679;1394;5016;100506127;10251;79696;414059;283927;150709;158880;101927164;353355;116842;731275;102724532;25786;100874028;389741;388730;728537;51265;9095;101927599;388327;102723859;100506826;339751;286527;64582;57232;79839;100506606;91734;110806272;100505538;6006;101928069;123228;401232;100506637;101930370;100134869;56246;101927155;645332;340562;339929;554249;119385;10693;147645;100507032;123688;387036;79973;160140;101927755;155054;100130691;84536;138474;100287896;79864;100131089;79635;100499484;50624;388165;317671;84696;118490;116444;107984875;487;283518;642946;101927761;728118;257;79363;102724330;202051;100861513;65243;100131193;101927612;100507250;164684;79946;5623;441273;728130;644656;158135;414197;283629;339210;345462;83849;100750246
Cluster:24,92856,10193;55131;55341;28973;4891;51321;55651;4728;10614;57472;8402;55735;25853;56951;102724594;26502;5238;51143;9524;9557;23137;11196;28974;196528;25828;34;51406;8841;203547;22929;6293;80347;25852;9093;11137;8520;81533;51081;84661;6629;64645;317662;9913;5921;26268;7707;159;3416;4716;10845;23008;167153;2631;10067;26024;10533;1967;6827;9730;26512;9527;1911;54878;22908;9525;51372;92856;5495;55862;79048;100528064;85403;51692;7029;10274;5433;905;10239;23484;8065;84324;7411;51639;23192;865;1939;6868;11056;261726;51400;51125;60509;8883;55744;401505;57470;1386;7019;7257;10542;7251;9682;22879;647087;79577;7307;9129;10311;6009;64960;51024;6433;55239;23759;51496;29086;746;9321;89910;51123;148362;7248;255967;9158;59343;205564;9255;64422;83443;91408;211;3712;1737;85007;10766;94005;51292;79086;4733;405;11276;9616;134553;4698;8563;7884;57599;81887;26121;51111;54700;57020;5965;7389;100505876;10330;2957;26225;8893;11267;24144;84146;149041;114932;22889;84833;29796;56339;51028;10445;1155;5898;51382;6885;4259;7936;65979;4700;55656;57403;2071;56254;9897;9990;10056;10367;55707;55308;23256;54902;9382;740;27248;9529;51574;54520;26046;55692;7265;38;80018;10920;57459;6311;162427;8019;1854;286451;641638;79960;9870;27246;26009;25948;55051;55275;7786;9702;892;84896;5510;23318;23161;83892;4771;11124;1176;835;60488;10087;5825;55696;56948;84138;23203;84128;4201;3475;25813;55505;54460;51300;10539;5571;51090;5504;5912;3980;100996939;134430;55813;54165;55578;100287932;55251;54853;5134;9885;81929;64769;84300;55833;57231;1977;10952;81608;64426;25839;22878;92609;2720;1635;57606;81609;8405;29066;79665;11160;9140;51594;55174;7320;5436;23173;3476;5977;4905;55052;147179;9978;55669;26574;64682;9209;60496;5546;553115;1385;8443;84272;80179;9812;55831;23014;27342
Cluster:25,3954,23588;28977;11164;23307;57602;8881;7336;158;84458;84901;5824;10987;84950;51230;29068;57510;9716;55668;4694;51031;6687;23512;5576;27229;4711;79932;3845;55197;51068;55585;284618;1616;55677;10902;4708;253725;29889;8621;51304;4729;54458;10767;23505;54737;10600;85476;400;7353;5586;10440;3954;54915;9559;26060;84376;100506710;329;4927;51759;51428;5547;6251;133619;84181;83658;23160;91369;51283;3454;51398;8731;56943;55755;23786;54606;134218;51128;4710;55661;10975;10664;6717;4704;27243;284058;26985;6390;84193;4089;56947;51324;114049;5520;2287;4799;5162;11143;54476;51253;7716;8036;55421;51056;79036;25909;54439;528;9556;5528;55717;116064;10296;153527;253143;55226;2976;55746;51144;55108;9270;25963;10569;22828;10905;54471;64432;94056;11336;26091;84641;23479;23184;9733;8533;51447;4548;3839;11345;23262;10904;29102;9337;51434;55683;9039;522;5432;1676;4775;26017;57645;51506;151987;8607;5130;9648;9282;51699;26258;51374;8546;51510;51667;5170;26019;23269;7871;10269;23047;55066;10483;8896;51105;10910;833;1659;26036;57132;55623;55015;10713;10048;3275;4686;51234;5529;5868;331;51535;10456;10061;54467;55004;55858;9943;56650;23071;8812;2332;7386;5562;51534;79939;7326;56647;8725;4683;27072;5902;5116;26092;2067;29115;1198;9667;387680;55968;55681;9380;6733;27089;64969;6902;116228;2339;57708;58477;904;79813;5706;9688;11163;23248;6945;64777;51726;22887;56993;23637;5356;10746;118987;54539;54805;64746;51202;8802;51;7110;54469;56888;10466;5530;1773;54989;55884;8773;55591;51060;7511;6729;91612;128977;154881;5096;6880;94081
Cluster:26,11070,84129;4335;84895;11194;26260;84720;23335;26122;57109;9726;79894;8427;25851;79594;27097;9094;78994;55716;283489;27348;9704;9422;155061;10322;79155;284001;6810;54758;7862;146198;63925;8677;11070;81847;55030;23315;56922;201627;6524;100302736;54442;56006;100526772;8574;25796;55810;2972;201292;51763;8509;3632;84067;374955;10782;157378;1774;10678;27244;8737;23361;113235;23395;79685;64112;10585;22897;89122;10553;92181;79791;8379;90135;153241;81559;63874;64427;22884;55213;375346;10522;84890;2055;57610;10838;7405;9655;54963;22893;27141;9895;94107;55364;84245;5681;8568;57787;27037;23143;1877;9842;56342;10020;734;79591;9451;8623;146050;23005;57215;118813;57786;23456;7701;83549;79364;81566;54877;10471;131601;26750;23357;7629;55316;57617;23382;11186;93624;10139;79174;23275;8629;83607;284459;93643;64110;23506;54707;10300;55783;114789;81577;6811;60343;9489;124454;115939;1185;57794;339290;83696;84317;197322;26119;90324;54946;9400;9831;85365;9684;221656;26151;84148
Cluster:27,29915,80764;25807;56160;29907;158586;7189;168374;79050;8220;9605;5051;64320;9278;8273;90956;339229;6821;3038;284613;81532;64763;90355;127703;11219;285761;11285;147694;54850;84792;727866;10385;117145;84134;27130;253980;78991;79803;56898;28952;3268;54929;5822;26093;5277;83464;100288778;54868;79018;84705;29915;64860;26276;51460;57544;23659;79676;83891;84874;788;9374;6674;9986;56623;9937;100874212;54925;23410;100129060;23596;9463;79991;55009;2622;55702;2968;26259;5607;9940;56980;10307;3104;353116;4534;80195;100507436;222484;26145;54465;93129;5598;55778;3292;9742;84934;10732;91433;5533;55090;90987;23424;9825;7580;7596;56658;7626;23417;23600;51545;10901;144245;63035;25845;6839;22954;84276;54470;84650;1797;51204;51091;30832;3508;55170;79643;84464;123283;63977;126282;11020;1497;79694;22869;440104;60526;9317;54622;2762;79798;54585;22901;29946;55290;84861;55208;54531;79640;84925;730094;56848;253512;100289635;58488;4943;90203;219743;7743;199953;55633;253430;23678;90592;116224;57531;197320;223082;54938;57171;57654;23729;80271;152002;83444;83852;79613;84749;9409;1184;148156;126792;152579;57209;100507034;90507;51684;80110;27434;145748;51157;643837;11270;146059;9880;7541;2671;10773;79134;100130348;51205;80818
Cluster:28,10409,4651;55970;1793;1535;1266;6241;8926;55740;10409;3428;2195;10659;3912;23225;4131;6653;7057;5796;23129;1522;2335;10653;5358;3913;64855;11167;894;26509;29968;595;7003;6638;586;284119;7082;9839;1462;9590;6624;3339;800;6678
Cluster:29,118924,28957;80262;54859;100527963;23421;55278;138199;29982;2592;56983;404672;51004;64431;84336;158747;8479;10063;90410;54936;643836;128308;91298;23536;54964;6895;81572;10717;283970;79612;84904;55112;5423;8915;28991;5279;151050;81790;132789;90459;203069;54968;10282;83941;124817;27301;10954;79618;131118;63897;9946;51605;466;411;84975;339231;5188;51244;10827;146923;84334;23431;54813;2966;57570;29914;49855;114791;27252;11066;151188;79848;51015;54516;129285;23378;84167;118924;114327;79441;84932;51633;51010;283377;25934;60491;54802;57621;79178;326625;23252;6119;55435;8834;23660;64376;23172;55622;100131801;26503;79828;137392;133957;51463;84902;116092;84305;148423;123207;51011;10465;5875;550643;10795;145483;11179;50814;2595;56986;148413;55909;57465;54536;25913;84240;84437;8576;58497;493753;79064;285282;9025;7542;57541;440138;51130;6231;3141;10196;29880;79576;54432;63894;7270;54148;7347;79648;57128;6883;9519;7702;55972;285550;84132;132660;55471;4750;595101;10559;55181;55270;129531;10248;55915;55279;644019;285343;55133;153396;51098;3052;10005;51668;27247;404636;90321;64852;729540;55791;6936;53407;49856;7260;84936;445571;26589;54556;115353;91869;29100;285331;23354;255812;29090;55319;201266;6884;55610;11193;55014;57147;10244;9587;80227;51657;79607;50485;8799;29916;136647;26519;26061;51642;57409;118487;401541;91833;5001;282809;6903;617;254170;7627;151195;3155;83636;170384;339175;84820;10478;123803;8446;374868;4437;80013;5316;7355;2342;79596;116540;23087;54965;200030;55192;6834;9183;29893;110091775;56052;80067;339487;2483;93594;255252;2639;132320;27030;92715;9054;55777;51611;57149;10641;125228;84987;9367;55602;8493;79003;26164;84124;129563;388789;84967;653519;51588;51013;53343;2585;81889;6788;91574;55027;9896;84236;79980;51184
Cluster:30,10346,1292;3487;23677;140576;3875;857;1291;100133941;55742;4811;558;4781;153090;6382;1829;8777;1277;7991;3856;3491;30846;10346;4323;445;4854;837;4233;9564;6383;5793;2817;5552;390;8522;79971;10413;3936;84168;1809;3977;1956;7837;23089;7078;1282;2012;10512;1832;22998;60681;51421;7045;1289;23363;6594;972;1284;7026;397;100462981
Cluster:31,6228,10399;1982;5660;6222;6128;6160;7323;9168;1452;6651;6125;9584;8661;226;6135;7316;1973;6223;3190;6175;805;7531;6188;26986;2512;5315;5230;23451;7170;567;3939;2023;1938;103;6210;2778;5094;7184;4536;378938;1499;3326;4869;71;6191;6141;387;6134;3021;7812;10209;6137;801;6228;6157;4691;4512;203068;4513;23215;6202;7534;6165;6194;6421;7314;2547;1654;6138;1778;7919;7167;506;6130;4519;4508;3309;51386;10376;4735;6218;4535;7311;6156;10075;4514;9349;4946;811;6224;498;4736;1974;10169;4666;2495;3837;728658;6161;4538;10521;6124;6168;7529;4540;7178;60;7555;6205;5250;4673;3183;10594;6187;3187;6193;6229;821;3312;6208;6418;3181;6428;5478;6167;3320;6181;4841;6132;6143;7520;6122;3069;1213;9782;375;1975;6155;6206;5757;9045;3192;1937;1915;23521;1655;6176;2597;4637;7009;1072
