,,Detection Rate (Global Expression Specificity),,,,,,,,,,,,Detection Rate (Global Expression Specificity),,,,,,,
GeneID,Cluster,Recount2 TPM 0.1,Recount2 TPM 1.0,Recount2 RPKM 0.3,Recount2 RPKM 1.0,Dee2 TPM 0.1,Dee2 TPM 1.0,Dee2 RPKM 0.3,Dee2 RPKM 1.0,,,,,Recount2,,,,Dee2,,,
6795,Cluster:4,0.797757319,0.445977473,0.61345107,0.254020019,0.936823992,0.571124222,0.722877745,0.286217634,,,Cluster:75,429,0.9806 (0.9722 - 0.9859),0.964 (0.9546 - 0.9733),0.9799 (0.9703 - 0.9871),0.9652 (0.9543 - 0.976),0.9976 (0.995 - 0.999),0.9952 (0.9909 - 0.9979),0.9964 (0.9926 - 0.9984),0.9941 (0.9885 - 0.9974)
6911,Cluster:4,0.805458696,0.459122495,0.609939041,0.26796779,0.942690921,0.62071452,0.737282858,0.336742052,,,Cluster:28,466,0.9817 (0.9747 - 0.9871),0.9671 (0.9591 - 0.9753),0.9813 (0.9734 - 0.9887),0.9691 (0.9593 - 0.9784),0.9978 (0.9951 - 0.9992),0.9959 (0.9914 - 0.9981),0.9967 (0.9931 - 0.9986),0.995 (0.9897 - 0.9977)
7352,Cluster:4,0.818202343,0.445124552,0.613601585,0.236961593,0.955031137,0.577122255,0.725303179,0.291019338,,,Cluster:67,388,0.9854 (0.9798 - 0.989),0.974 (0.9669 - 0.9787),0.9869 (0.9801 - 0.9913),0.9771 (0.9691 - 0.9832),0.9985 (0.9961 - 0.9995),0.9971 (0.9924 - 0.9989),0.9977 (0.9936 - 0.9991),0.9966 (0.9901 - 0.9986)
7638,Cluster:4,0.864862153,0.554900534,0.699169656,0.346311116,0.924254343,0.581366765,0.712389381,0.303277614,,,Cluster:25,322,0.9884 (0.9836 - 0.9918),0.9781 (0.9729 - 0.9813),0.9905 (0.9852 - 0.9942),0.983 (0.9765 - 0.9868),0.9991 (0.9974 - 0.9997),0.9982 (0.995 - 0.9993),0.9986 (0.996 - 0.9995),0.9979 (0.9942 - 0.9991)
7700,Cluster:4,0.833906128,0.564408098,0.702054537,0.344279156,0.857522124,0.66451983,0.772877745,0.381514258,,,Cluster:13,272,0.9911 (0.9881 - 0.9941),0.9819 (0.9791 - 0.9841),0.9938 (0.9904 - 0.9964),0.9876 (0.9836 - 0.9911),0.9995 (0.9978 - 0.9999),0.999 (0.9955 - 0.9997),0.9992 (0.9963 - 0.9997),0.9988 (0.9941 - 0.9996)
8444,Cluster:4,0.829541179,0.554474074,0.679201264,0.38341319,0.940347427,0.688462799,0.775958702,0.469731236,,,Cluster:81,202,0.9961 (0.9926 - 0.9994),0.9869 (0.9838 - 0.996),0.9981 (0.995 - 0.9996),0.9946 (0.9903 - 0.9987),0.9999 (0.9995 - 1),0.9998 (0.9989 - 0.9999),0.9998 (0.9991 - 1),0.9997 (0.9985 - 0.9999)
8838,Cluster:4,0.831899255,0.504904297,0.658555553,0.299776735,0.518698787,0.11468371,0.173320223,0.052769584,,,,,*median detection rate (precentile 10% - precentile 90%),,,,,,,
9095,Cluster:4,0.843990668,0.546797782,0.703935981,0.314928631,0.977531957,0.732776139,0.858669289,0.405670272,,,,,,,,,,,,
9252,Cluster:4,0.889747385,0.456162356,0.646163109,0.232245441,0.962356604,0.517436906,0.684431334,0.199737791,,,,,,,,,,,,
10824,Cluster:4,0.78687003,0.429646539,0.595414294,0.227504202,0.462471321,0.072418879,0.117862996,0.024893478,,,,,,,,,,,,
11093,Cluster:4,0.813034644,0.506911171,0.634146953,0.346988435,0.938774172,0.643182563,0.749868895,0.421763356,,,,,,,,,,,,
23409,Cluster:4,0.812532925,0.560595038,0.696585806,0.342824173,0.967666339,0.774041298,0.865568666,0.469665683,,,,,,,,,,,,
26226,Cluster:4,0.824398565,0.370067481,0.545518401,0.21435918,0.902540151,0.210488364,0.36324156,0.070485087,,,,,,,,,,,,
27296,Cluster:4,0.824498909,0.431703585,0.627699872,0.198630309,0.620304818,0.220042609,0.338413635,0.058521796,,,,,,,,,,,,
28968,Cluster:4,0.790306801,0.415573339,0.574542809,0.237011765,0.905195018,0.596034087,0.705866929,0.367043592,,,,,,,,,,,,
51364,Cluster:4,0.822968668,0.484509445,0.635627023,0.330256127,0.947902327,0.582186168,0.707194363,0.3366765,,,,,,,,,,,,
51554,Cluster:4,0.849685172,0.530040388,0.693826355,0.290469859,0.535185185,0.15662078,0.203146509,0.099524746,,,,,,,,,,,,
53842,Cluster:4,0.764543562,0.515741414,0.629305371,0.325640318,0.046394625,0.006227466,0.008702065,0.00381842,,,,,,,,,,,,
54752,Cluster:4,0.784812984,0.527807742,0.659157615,0.311441688,0.391625696,0.022844969,0.048197312,0.003457883,,,,,,,,,,,,
54760,Cluster:4,0.790708176,0.478890199,0.602689211,0.331209392,0.943051459,0.673500492,0.768534907,0.444641101,,,,,,,,,,,,
55064,Cluster:4,0.874068685,0.565737651,0.736071043,0.292702506,0.869616519,0.321173386,0.447787611,0.143231727,,,,,,,,,,,,
55805,Cluster:4,0.861801671,0.465218373,0.629230113,0.294333091,0.894296952,0.357931826,0.484201901,0.165978368,,,,,,,,,,,,
56624,Cluster:4,0.817525023,0.559190227,0.692421544,0.342397712,0.780039331,0.230088496,0.364978696,0.062192724,,,,,,,,,,,,
57191,Cluster:4,0.812959386,0.478288137,0.613175125,0.319193237,0.841658473,0.360242543,0.486479843,0.161143887,,,,,,,,,,,,
57710,Cluster:4,0.847427439,0.42638537,0.622783032,0.221659183,0.749410029,0.252261554,0.365585054,0.089823009,,,,,,,,,,,,
57716,Cluster:4,0.829992725,0.563078544,0.70774904,0.358678474,0.962749918,0.770747296,0.866388069,0.472910521,,,,,,,,,,,,
57828,Cluster:4,0.822968668,0.397536563,0.55326995,0.22007877,0.924237955,0.464863979,0.595509669,0.225712881,,,,,,,,,,,,
64582,Cluster:4,0.833705441,0.489978175,0.646087851,0.266437549,0.957030482,0.554260898,0.706801049,0.241297935,,,,,,,,,,,,
79696,Cluster:4,0.854852871,0.473095352,0.653412939,0.257281188,0.912520485,0.502867912,0.641314323,0.228203868,,,,,,,,,,,,
79819,Cluster:4,0.840403382,0.404058902,0.573388857,0.220128942,0.944673877,0.461045559,0.603162897,0.222943297,,,,,,,,,,,,
79846,Cluster:4,0.751348368,0.467074731,0.579509821,0.299701478,0.805326123,0.540740741,0.632645034,0.319944281,,,,,,,,,,,,
