  Cluster,Variable,     Q5,    Q10,    Q15,    Q20,    Q25,    Q30,    Q35,    Q40,    Q45,    Q50,    Q55,    Q60,    Q65,    Q70,    Q75,    Q80,    Q85,    Q90,    Q95
,1st Qu,0.13093,2.222,4.582,6.7,8.758,10.771,12.724,14.726,16.63,18.57,20.76,22.71,25.23,28.01,31.1,34.83,39.86,47.82,64.64
,Median,0.27608,2.689,5.35,7.711,9.876,11.957,13.84,15.839,17.83,20.01,22.32,24.66,27.09,30.13,33.67,38,43.83,53.86,74.01
,Mean,0.36959,2.743,5.356,7.692,9.826,11.855,13.854,15.834,17.85,19.94,22.15,24.55,27.21,30.24,33.84,38.34,44.51,54.25,75.68
,3rd Qu,0.50516,3.229,6.1,8.624,10.924,13.008,15.086,17.195,19.27,21.46,23.9,26.41,29.16,32.53,36.38,41.39,48.25,59.27,85.35
,Max,1.87135,4.723,7.761,10.843,13.723,16.201,18.471,20.87,23.12,25.34,27.66,30.17,35.27,41.02,47.41,54.43,64.03,78.15,120.84
Cluster:36,Min,0.03277,1.75,3.661,5.726,7.854,10.2,12.72,15.12,17.89,21.15,23.22,25.31,27.56,30.19,33.51,37.06,40.76,46.55,58.64
,1st Qu,0.26613,3.109,6.204,9.024,11.702,14.21,16.59,19.18,21.91,24.54,27.38,30.25,33.24,36.85,40.56,45.25,51.32,61,80.37
,Median,0.46114,3.745,7.174,10.302,13.259,15.9,18.54,21.02,23.48,26.15,28.92,31.92,35.25,39.01,43.44,49.24,56.72,67.97,93.56
,Mean,0.61916,3.847,7.184,10.201,13.021,15.68,18.28,20.85,23.46,26.16,29.04,32.12,35.53,39.37,43.9,49.55,57.28,69.38,95.61
,3rd Qu,0.78515,4.548,8.162,11.303,14.324,17.17,19.96,22.5,25.28,28,30.88,34.11,37.66,41.89,46.87,53.3,62.4,76.63,107
,Max,2.73053,6.42,10.031,13.8,17.006,20.1,22.87,25.45,28.51,32.02,36.04,41.19,46.49,52.03,58.06,67.38,81.58,100.48,155.34
Cluster:88,Min,0.04541,2.809,6.82,10.31,13.5,16.77,19.44,21.86,24.31,26.65,29.39,32.5,35.09,38.21,41.91,46.36,52.46,61.76,74.72
,1st Qu,0.53065,4.383,8.49,12.51,16.04,19.19,22.18,24.78,27.82,31.07,34.24,37.33,40.93,45,49.16,54.68,61.87,73.16,95.42
,Median,0.90732,5.31,9.728,13.58,17.1,20.39,23.46,26.57,29.67,32.65,36.01,39.52,43.02,47.09,51.92,57.66,65.75,78.34,104.98
,Mean,1.05653,5.403,9.801,13.71,17.27,20.56,23.69,26.71,29.74,32.82,36.03,39.45,43.16,47.32,52.17,58.2,66.4,79.34,108
,3rd Qu,1.48845,6.405,10.989,14.85,18.51,21.77,25.13,28.15,31.41,34.51,37.9,41.44,45.36,49.59,54.76,61.13,70.3,84.53,117.74
,Max,3.30283,9.701,14.129,18.19,22.08,25.69,29.45,32.73,35.71,38.86,42.07,45.59,51.62,59.44,67.16,76.11,88.24,108.7,181.93
Cluster:29,Min,0.06699,3.307,8.088,11.78,16.16,19.57,23.15,26.86,30.12,33.03,36.12,39.86,43.57,47.66,51.83,55.8,62.05,72.59,90.32
,1st Qu,0.63881,5.439,10.612,15.17,19.18,23.04,26.86,30.38,33.89,37.55,41.39,45.02,48.87,53.55,58.76,65.36,74,86.4,113.51
,Median,1.26559,6.533,11.768,16.5,20.78,24.63,28.46,32.06,35.74,39.3,43.2,47.54,51.75,56.84,62.73,70,79.77,94.57,125.8
,Mean,1.495,6.724,11.916,16.56,20.79,24.71,28.47,32.12,35.77,39.49,43.37,47.49,51.96,56.99,62.88,70.19,80.08,95.49,128.91
,3rd Qu,2.17031,7.8,13.027,17.79,22.19,26.13,29.97,33.71,37.54,41.3,45.74,50.12,54.89,60.27,66.61,74.93,86,103.38,142.37
,Max,5.39754,12.913,18.593,22.64,27.52,32.66,37.03,40.84,44.19,47.45,50.99,56.2,64.58,72.86,81.85,91.91,104.74,127.7,220
