  Cluster,Variable,     Q5,    Q10,    Q15,    Q20,    Q25,    Q30,    Q35,    Q40,    Q45,    Q50,    Q55,    Q60,    Q65,    Q70,    Q75,    Q80,    Q85,    Q90,    Q95
,3rd Qu,7.684,11.486,14.121,16.471,18.526,20.66,22.87,24.99,27.07,29.34,31.75,34.56,37.61,41.02,45.21,49.94,56.26,65.4,82.39
,Max,13.97,18.535,21.527,24.92,29.185,33.5,38.02,43.08,48.84,55.25,62.36,70.45,79.59,90.52,104.13,121.85,144.8,181.04,252.55
Cluster:36,Min,0,0,0,0,0,0,0,0,0,0,0.0303,0.07336,0.1079,0.1499,0.1819,0.2206,0.2801,0.3679,0.5112
,1st Qu,5.337,8.658,11.77,13.99,16.38,18.74,20.77,22.79,25.02,27.45,29.6621,31.97139,34.7624,38.472,41.8882,46.4588,51.9292,60.0414,73.3728
,Median,8.245,12.259,15.39,18.12,20.67,23.12,25.58,28.18,30.85,33.54,36.4549,39.37885,43.0292,46.6256,50.6743,55.7242,62.2915,71.5115,88.3662
,Mean,7.757,11.435,14.23,16.69,18.99,21.22,23.46,25.75,28.13,30.65,33.3602,36.31199,39.5562,43.1898,47.4352,52.5798,59.2215,68.7639,86.1127
,3rd Qu,10.555,15.066,18.26,21.1,23.69,26.32,29.22,32.18,35.1,37.98,41.3897,44.53528,48.0022,52.4669,57.7017,63.4329,72.1481,84.1447,104.548
,Max,17.018,22.094,26.07,29.69,32.86,35.8,38.57,42.19,46.75,51.6,56.6226,61.97901,67.6409,74.2541,81.623,94.1191,108.9225,131.4902,171.3606
Cluster:88,Min,0,0,0,0,0.03437,0.07962,0.1079,0.1357,0.1643,0.1941,0.2264,0.2654,0.3127,0.3636,0.4207,0.4967,0.6026,0.7615,1.075
,1st Qu,8.299,12.71,15.64,18.28,21.10053,23.80914,26.7313,29.4944,31.4022,34.3713,37.8587,40.6655,43.9401,47.3933,51.462,56.5857,62.6064,71.7191,86.416
,Median,11.941,17.22,21.14,24.41,27.55727,30.36776,33.3317,35.9741,38.8336,41.6707,44.7314,48.1813,51.6912,55.8406,60.2797,65.8446,73.002,83.0636,101.279
,Mean,11.055,15.8,19.28,22.24,24.97061,27.58121,30.1512,32.7473,35.408,38.1675,41.1119,44.3084,47.7796,51.6502,56.1129,61.4915,68.3925,78.2511,96.146
,3rd Qu,14.413,20.05,24.33,27.93,31.29492,34.54709,37.7602,40.8069,44.0464,47.6628,50.8588,54.2675,58.2646,62.5527,67.6529,74.1157,81.7204,93.2748,116.272
,Max,22.899,30.11,35.45,39.52,42.85542,45.82519,48.5302,51.8828,56.0723,60.526,67.2141,73.7464,80.8739,88.6988,96.9766,107.1277,119.0739,135.8621,167.255
Cluster:29,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
